HS	selected	closed	hook	forward	straight	dispersed	thumb
а	0	-1	0	0	0	0	1
б	23	-1	1	0	1	1	1
в	0	0	0	0	-1	-1	3
г	2	-1	0	0	1	0	3
д	23	-1	0	0	1	-1	1
е	0	0	-1	0	0	-1	0
ё	0	0	-1	0	0	-1	0
ж	0	0	0	-1	0	-1	0
з	2	-1	0	0	1	0	1
и	45	-1	0	0	1	1	1
й	45	-1	0	0	1	1	1
к	23	-1	0	0	1	-1	1
л	23	-1	0	0	1	1	1
м	234	-1	0	0	1	1	1
н	4	0	1	0	-1	1	0
о	2	0	1	0	-1	1	0
п	23	-1	0	0	1	-1	1
р	3	0	1	0	-1	1	0
с	0	0	-1	0	0	-1	2
т	234	-1	0	0	1	-1	1
у	5	-1	0	0	1	0	3
ф	0	0	0	-1	0	-1	5
х	2	-1	1	0	0	0	1
ц	23	-1	0	0	1	-1	1
ч	23	-1	0	1	0	-1	0
ш	234	-1	0	0	1	-1	1
щ	234	-1	0	0	1	-1	1
ъ	2	-1	0	0	1	0	3
ы	25	-1	0	0	1	0	1
ь	2	-1	0	0	1	0	3
э	2	-1	1	0	0	0	2
ю	5	0	0	-1	1	-1	0
я	23	-1	1	0	1	-1	1
1	2	-1	0	0	1	0	1
2	23	-1	0	0	1	1	1
3	234	-1	0	0	1	1	1
4	0	0	0	0	-1	1	1
5	0	0	0	0	-1	1	3
6	0	-1	0	0	0	0	3
7	2	-1	0	0	1	0	3
8	23	-1	0	0	1	1	3
А	2	-1	1	0	0	0	0
В	0	0	0	0	-1	-1	1
Г	25	-1	0	0	1	0	3
Е	0	0	-1	0	0	1	2
И	0	0	-1	0	0	1	3
К	2	-1	0	1	0	0	2
Л	23	-1	1	0	0	1	1
М	23	-1	1	0	0	1	3
Н	3	0	0	1	-1	1	3
О	2	-1	1	0	0	0	3
П	23	-1	0	0	1	-1	3
Р	3	0	1	0	-1	1	2
С	0	0	-1	0	0	-1	3
Т	0	0	0	-1	0	-1	3
У	5	-1	0	0	1	0	1
Ф	0	0	-1	0	0	-1	5
Ч	2	-1	0	1	0	-1	0
Ш	0	0	0	-1	0	0	2
Ы	25	0	0	-1	1	0	1